"NumberOfRacks","RackType","LocationDescription","Address","Status"
"1","Hoop"," "," ","To Be Replaced"
"1",""," "," ","To Be Replaced"
"1",""," "," ","To Be Replaced"
"1",""," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
"1",""," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
"1",""," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
"3","Hoop"," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
"1","Hoop"," "," ","To Be Replaced"
"1","Hoop","Subway","827 S. 21st St","Installed"
"1","Hoop"," "," ","To Be Replaced"
"4","Hoop","Cedar Hill Park"," ","Installed"
"2","Hoop","Melton Lake Park"," 697 Melton Lake Dr","Installed"
"2","Hoop","Oak Ridge Public Library"," ","Installed"
"4","Hoop","Oak Ridge Civic Center","1403 Oak Ridge Turnpike, Oak Ridge, TN 37830","Installed"
"2","Other","Oak Ridge Public Library Plaza","1401 Oak Ridge Rd","Installed"
"2","Hoop","Jackson Square ","27 E Tennessee Ave, Oak Ridge, TN 37830 (approximate)","Installed"
"2","Hoop","Oak Ridge Police Department"," ","Installed"
"2","Hoop","OHS Tennis Courts","1450 Oak Ridge Turnpike, Oak Ridge, TN 37830","Installed"
"2","Hoop","Michigan Avenue parking lot for tennis courts"," ","Installed"
"2","Hoop","Elm Grove Park","Taylor Ave and E Tennessee Ave","Installed"
"2","Hoop","Highland View Park","442 West Outer Drive","Installed"
"2","Hoop","Milt Dickens Park","Athens Rd, Oak Ridge","Installed"
"4","Hoop","Scarboro Park","149 Carver Ave","Installed"
"2","Hoop","Oak Ridge Baseball Complex","37 Wilberforce Ave Oak Ridge (Tennessee) 37830","Installed"
"2","Hoop"," Briarcliff Park"," Briarcliff Rd & Deerfield Rd","Installed"
"1","Hoop","Vacant building adjacent to Sunspot","2204 Cumberland Ave","Installed"
"2","Hoop","Big Turtle Dog Park"," Oak Ridge Turnpike","Installed"
"4","Bike corral"," ","524 Gay street","Installed"
"1","Hitch","Farragut building","530 S. Gay street","Installed"
"1","Hitch","KUB - Miller Building","445 S. Gay street","Installed"
"3","Hitch","500 Block Market","515 Market St","Installed"
"1","Hitch","Near Rowing Man Statue","Northwest Corner of W Church Ave and S Gay St","Installed"
"3","Hoop","Sunsphere base","701 Henley","Installed"
"2","Hitch","World's Fair Park"," ","Installed"
"2","Hitch","World's Fair Park","954 Worlds Fair Drive","Installed"
"1","Hitch","Studio Four Design Inc","414 Clinch","Installed"
"2","Hitch","CTV","808 State St","Installed"
"4","Hitch","Daylight Building","577 Union Ave","Installed"
"1","Hitch","Daylight Building (Walnut)","501 Union Ave","Installed"
"6","Hoop","Outdoor Knoxville","900 Volunteer Landing","Installed"
"3","Hitch"," ","400 Block Union Ave","Installed"
"3","Hitch","Knoxville Coliseum","500 Howard Baker","Installed"
"3","Hoop","Knoxville Museum of Art","1050 Worlds Fair Park Drive","Installed"
"3","Hoop","L&N Stem Academy","401 Henley St","Installed"
"6","Hoop","Old City Java","109 S Central","Installed"
"2","Hitch","West Jackson Workshops","514 W Jackson","Installed"
"2","Hoop","Knoxville Zoo","3500 Knoxville Zoo Dr","Installed"
"1","Hoop","Pepsi","2708 Federal Road","Installed"
"1","Hoop","John T O'Connor Center","611 Winona St","Installed"
"3","Hoop","Jacob Building","3301 Magnolia","Installed"
"2","Hoop","Picnic Shelter near Beaman entrance","516 N Beaman St","Installed"
"1","Hoop","Boxing Arena","401 Lakeside St","Installed"
"2","Hoop","Piece by Peace","1526 Washington","Installed"
"4","Hoop","PSCC","1610 Magnolia","Installed"
"2","Hoop","Last Days of Autumn Brewing","808 E Magnolia","Installed"
"1","Hoop","HomeSource","109 Winona","Installed"
"1","Hoop","South Knox Elementary","801 Sevier Ave","Installed"
"5","Hoop","South Doyle Middle School","3900 Decatur","Installed"
"1","Hoop","Round Up Restaurant","3463 Sevierville Pike","Installed"
"3","Hoop","Mooreland Heights Elementary","5315 Magazine","Installed"
"4","Hoop - Rail mounted","Ijams Naure Center","2915 Island Home Ave","Installed"
"6","Ulockit","Dogwood Elementary","705 Tipton Ave, 37920","Installed"
"5","Hoop","Public House/Tn Valley Bikes","214 W Magnolia","Installed"
"1","Hitch"," ","Northwest corner of N Central St and Third Ave","Installed"
"4","Hitch","Broadway and Glenwood Building","1328 N Broadway","Installed"
"5","Bike corral","Central Flats & Taps","1204 N Central","Installed"
"7","Hoop - Rail mounted","Hops and Hollers","931 N Central","Installed"
"2","Hitch","South side of Flats and Taps","100 E Anderson Ave","Installed"
"3","Hoop","Fulton High School","2509 N Broadway","Installed"
"2","Hoop","Birdhouse","400 N 4th Ave","Installed"
"5","Hoop","Beaumont Elementary","1211 Beaumont Ave","Installed"
"6","Hoop - Rail mounted","Crafty Bastard","6 Emory Place","Installed"
"3","Hoop","Central Collective","923 Central","Installed"
"2","Hoop","Makers Donuts","804 Tyson","Installed"
"1","Hitch","Companion Animal Hospital","2930 Tazewell Pk, 37918","Installed"
"4","Hoop","Maple Chase Condos","4807 Poplar Crest Way","Installed"
"4","Hoop","Krogers","5201 N Broadway","Installed"
"9","Hoop","PSCC","3435 Division Street","Installed"
"3","Hoop - Rail mounted","Pinnacle Tower","1111 Northshore Dr, 37919","Installed"
"3","Hoop","Westview Tower","7823 Gleason Drive, 37919","Installed"
"2","Hoop","Union Jacks","124 S Northshore","Installed"
"2","Hoop","Bearden Elementary School","5717 Kingston Pike","Installed"
"1","Hoop","WVLT","6450 Papermill","Installed"
"7","Hoop","Northwest Middle School","5301 Pleasant Ridge Rd, 37912","Installed"
"3","Ulockit","Adrian Burnett Elementary School","4521 Brown Gap Pike","Installed"
"19","Hoop","Maryville College","502 E Lamar Alexander Pkwy, Maryville, TN 37804","Installed"
"3","Hoop","Blount County Library","508 N Cusick St, Maryville, TN 37804","Installed"
"4","Hoop","Vienna Coffee","212 College St, Maryville, TN 37804","Installed"
"3","Hoop","Vienna Coffe","212 College St, Maryville, TN 37804","Installed"
"4","Other","3 Rivers Market","1100 North Central","Installed"
"3","Hoop","3 Rivers market","1100 North Central","Installed"
"3","Hoop","Clayton Park","7347 Norris Fwy  37918","Installed"
"1","Hitch","Pete's Coffee","540 Union","Installed"
"1","Hitch","Yassin's Falafel","706 Walnut","Planned"
"1","Hitch","Parkway Shopping Center","4014 Chapman Highway","Installed"
"4","Ulockit","Shoneys","2612 Chapman Highway, 37920","Installed"
"2","Hoop","Knox County Health Department","140 Dameron Ave","Installed"
"4","Ulockit","Minvilla Manor","447 N Broadway","Installed"
"4","Hoop","K Brew","1138 N Broadway","Installed"
"5","Hoop","Lonsdale Elementary","1317 Louisiana Ave","Installed"
"4","Hoop","Tomato Head","211 W Broadway","Installed"
"2","Hoop","Next to Capitol Coffee","133 W Broadway","Installed"
"2","Hoop","Professional Hair Design","120 E Broadway","Installed"
"1","Hoop","National Fitness Maryville","1644 W Broadway","Installed"
"2","Hoop","Southland Cafe","1505 E Broadway Ave","Installed"
"2","Hoop","Alcoa City Hall","223 Associates Blvd, Alcoa, TN 37701","Installed"
"1","Hoop","Tennessee Vein Center","421 Marilyn Lane 37701","Installed"
"","Hoop","Creech Property","4407 Singleton Station Road 37777","Installed"
"2","Hoop","3 Minute Car Wash","3203 Alcoa Highway 37701","Installed"
"3","Hoop","GSMNP","107 Park Headquarters","Installed"
"5","Hoop","Oak Ridge Unitarian Universalist Church","809 Oak Ridge Turnpike","Installed"
"8","Hoop","Jackson Square","213 Broadway Ave","Installed"
"","Hoop","Lasalle Park West","Lasalle Road","Installed"
"1","Hitch","TN Theater","","Installed"
"","Hitch","","722 S Gay St","To Be Replaced"
"","Hitch","","710 S Gay St","To Be Replaced"
"1","Hitch","First Tennessee Plaza","800 S Gay St","Installed"
"5","Bike corral","on street near","407 S Gay St","Installed"
"1","Hoop","(formerly Marie's)","202 W Magnolia Ave","Installed"
"1","Hoop","Regions Bank","707 N Broadway","Installed"
"2","Hoop","Central United Methodist Church","201 E Third Ave","Installed"
"4","Hoop","The Restoration House","2205 Village Place Way ","Installed"
"3","Hoop","Sam Duff Park","4060 Chapman Hwy","Installed"
"2","Hoop","Mill and Mine","227 W Depot Ave","Installed"
"1","Hitch","World's Fair Park","974 Worlds Fair Park Dr","Installed"
"2","Hoop","HoneyBee Coffee","700 Sevier Ave","Installed"
"1","","Karns Middle School","2925 Gray Hendrix Rd","Installed"
"3","Hoop","Alliance Brewing Company","1130 Sevier Ave","Installed"
"1","Ulockit","Renegade Yoga","516 Renford Rd ","Installed"
"1","Hitch","","133 S Gay St","Installed"
"1","Hoop","EdFinancial","120 N Seven Oaks Dr, Knoxville, TN 37922","Installed"
"10","Hoop","Maryville College","502 E Lamar Alexander Pkwy, Maryville, TN 37804","Installed"
"4","Ulockit","UT Institute of Public Service","1610 University Ave 37921","Installed"
"2","Hitch","YMCA","605 W Clinch Ave","Installed"
"1","Hoop","A Dopo Pizza","516 williams st","Installed"
"1","Hitch","outside of Central Depot Bar","103 W Depot Ave, Knoxville, TN 37917","Installed"
"1","Hitch","","125 W Jackson Ave","Installed"
"1","Hitch","","129 W Jackson Ave","Installed"
"1","Hitch","near rowboat guy","625 S Gay St","Installed"
"5","Hoop","Abridged Beer Co","100 Lockett Rd 37919","Installed"
"3","Hoop","Elkmont Exchange","745 N Broadway 37917","Installed"
"2","Hoop","Vestal Boys and Girls Club","522 Maryville Pike 37920","Installed"
"2","Hoop","Kybra Athletics","804 N Broadway St 37917","Installed"
"3","Bike corral","on Church in front of Yassin's","706 Walnut St","Installed"
"1","Hitch","","613 N Gay StKnoxville, TN 37917","Installed"
"1","Hitch","","617 N Gay St Knoxville TN 37917","Installed"
"3","Hoop","by the entrance to Trailhead","1317 Island Home Ave, Knoxville, TN 37920","Installed"
"1","Hoop","around the basketball court","Around Quincy Ave and Purdue Ave in Oak Ridge","Planned"
"1","Hoop","near the creek","Park surrounded by Quincy Ave and Purdue Ave","Planned"
"1","Hitch","","428 E Scott Ave","Installed"
"1","Hoop","Dream Bikes","309 N Central St","Installed"
"2","Hitch","Sharps Ridge - Picnic Area","Sharps Ridge Memorial Drive","Installed"
